format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,cpu-hw,mul,0.0925,10815444082,0.001,262144,262144,6132,0.1486
fp32,libcft,fma,119.1620,8391938,1.000,262144,262144,5,0.1562
fp32,mpfr,fma,32.0095,31240678,0.269,262144,262144,18,0.1510
fp32,mpfr+754,fma,43.2756,23107731,0.363,262144,262144,14,0.1588
fp32,cpu-hw,fma,0.1403,7129891582,0.001,262144,262144,3595,0.1322
fp32,libcft,div,1969.4481,507756,1.000,262144,262144,1,0.5163
fp32,mpfr,div,18.1177,55194549,0.009,262144,262144,33,0.1567
fp32,mpfr+754,div,27.4336,36451692,0.014,262144,262144,22,0.1582
fp32,cpu-hw,div,0.0913,10953167256,0.000,262144,262144,6075,0.1454
fp32,libcft,sqrt,2422.5082,412795,1.000,262144,262144,1,0.6350
fp32,mpfr,sqrt,22.7261,44002213,0.009,262144,262144,27,0.1609
fp32,mpfr+754,sqrt,32.0115,31238740,0.013,262144,262144,19,0.1594
fp32,cpu-hw,sqrt,0.1535,6515030814,0.000,262144,262144,3864,0.1555
fp32,libcft,add,139.2069,7183553,1.000,1048576,1048576,1,0.1460
fp32,mpfr,add,17.5581,56953778,0.126,1048576,1048576,9,0.1657
fp32,mpfr+754,add,27.0853,36920390,0.195,1048576,1048576,6,0.1704
fp32,cpu-hw,add,0.0991,10095274445,0.001,1048576,1048576,1197,0.1243
fp32,libcft,mul,109.1194,9164272,1.000,1048576,1048576,2,0.2288
fp32,mpfr,mul,12.1350,82406316,0.111,1048576,1048576,13,0.1654
fp32,mpfr+754,mul,22.5378,44369949,0.207,1048576,1048576,7,0.1654
fp32,cpu-hw,mul,0.0970,10313093805,0.001,1048576,1048576,1320,0.1342
fp32,libcft,fma,119.1883,8390085,1.000,1048576,1048576,1,0.1250
fp32,mpfr,fma,31.8993,31348688,0.268,1048576,1048576,5,0.1672
fp32,mpfr+754,fma,43.2577,23117264,0.363,1048576,1048576,4,0.1814
fp32,cpu-hw,fma,0.1747,5725623311,0.001,1048576,1048576,844,0.1546
fp32,libcft,div,1973.8035,506636,1.000,1048576,1048576,1,2.0697
fp32,mpfr,div,18.0780,55315947,0.009,1048576,1048576,8,0.1516
fp32,mpfr+754,div,27.4750,36396672,0.014,1048576,1048576,6,0.1729
fp32,cpu-hw,div,0.0961,10409768696,0.000,1048576,1048576,1200,0.1209
fp32,libcft,sqrt,2431.6006,411252,1.000,1048576,1048576,1,2.5497
fp32,mpfr,sqrt,22.4860,44472105,0.009,1048576,1048576,7,0.1650
fp32,mpfr+754,sqrt,32.0482,31202976,0.013,1048576,1048576,5,0.1680
