format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,cpu-hw,add,0.6559,1524608513,0.002,262144,262144,875,0.1504
fp32,libcft,mul,232.4618,4301782,1.000,262144,262144,3,0.1828
fp32,mpfr,mul,27.4105,36482422,0.118,262144,262144,21,0.1509
fp32,mpfr+754,mul,31.0707,32184703,0.134,262144,262144,18,0.1466
fp32,cpu-hw,mul,0.5806,1722225378,0.002,262144,262144,991,0.1508
fp32,libcft,fma,267.1131,3743732,1.000,262144,262144,3,0.2101
fp32,mpfr,fma,43.1942,23151237,0.162,262144,262144,13,0.1472
fp32,mpfr+754,fma,48.9248,20439542,0.183,262144,262144,12,0.1539
fp32,cpu-hw,fma,1.6943,590210941,0.006,262144,262144,339,0.1506
fp32,libcft,div,4535.0920,220503,1.000,262144,262144,1,1.1888
fp32,mpfr,div,25.3244,39487539,0.006,262144,262144,23,0.1527
fp32,mpfr+754,div,29.5919,33793081,0.007,262144,262144,20,0.1551
fp32,cpu-hw,div,0.7137,1401220962,0.000,262144,262144,803,0.1502
fp32,libcft,sqrt,5394.1295,185387,1.000,262144,262144,1,1.4140
fp32,mpfr,sqrt,31.4999,31746133,0.006,262144,262144,18,0.1486
fp32,mpfr+754,sqrt,37.2101,26874458,0.007,262144,262144,16,0.1561
fp32,cpu-hw,sqrt,1.1454,873068525,0.000,262144,262144,499,0.1498
fp32,libcft,add,299.3672,3340380,1.000,1048576,1048576,1,0.3139
fp32,mpfr,add,29.8632,33485996,0.100,1048576,1048576,5,0.1566
fp32,mpfr+754,add,35.4023,28246748,0.118,1048576,1048576,5,0.1856
fp32,cpu-hw,add,0.5338,1873278762,0.002,1048576,1048576,268,0.1500
fp32,libcft,mul,232.4759,4301521,1.000,1048576,1048576,1,0.2438
fp32,mpfr,mul,24.5087,40801805,0.105,1048576,1048576,6,0.1542
fp32,mpfr+754,mul,28.2232,35431886,0.121,1048576,1048576,6,0.1776
fp32,cpu-hw,mul,0.5356,1866905085,0.002,1048576,1048576,267,0.1500
fp32,libcft,fma,266.7143,3749330,1.000,1048576,1048576,1,0.2797
fp32,mpfr,fma,43.2568,23117732,0.162,1048576,1048576,4,0.1814
fp32,mpfr+754,fma,49.1250,20356220,0.184,1048576,1048576,3,0.1545
fp32,cpu-hw,fma,1.6926,590816441,0.006,1048576,1048576,85,0.1509
fp32,libcft,div,4597.5979,217505,1.000,1048576,1048576,1,4.8209
fp32,mpfr,div,25.9839,38485378,0.006,1048576,1048576,6,0.1635
fp32,mpfr+754,div,30.0815,33243050,0.007,1048576,1048576,5,0.1577
fp32,cpu-hw,div,0.7094,1409722353,0.000,1048576,1048576,203,0.1510
fp32,libcft,sqrt,5505.1471,181648,1.000,1048576,1048576,1,5.7726
fp32,mpfr,sqrt,36.6642,27274599,0.007,1048576,1048576,4,0.1538
fp32,mpfr+754,sqrt,38.8963,25709415,0.007,1048576,1048576,4,0.1631
fp32,cpu-hw,sqrt,1.1464,872270072,0.000,1048576,1048576,125,0.1503
fp32,libcft,add,298.5566,3349449,1.000,4194304,4194304,1,1.2522
fp32,mpfr,add,29.9921,33342135,0.100,4194304,4194304,1,0.1258
fp32,mpfr+754,add,35.4394,28217187,0.119,4194304,4194304,1,0.1486
fp32,cpu-hw,add,0.7274,1374799567,0.002,4194304,4194304,46,0.1403
fp32,libcft,mul,245.2852,4076887,1.000,4194304,4194304,1,1.0288
fp32,mpfr,mul,24.5204,40782392,0.100,4194304,4194304,2,0.2057
fp32,mpfr+754,mul,28.2563,35390307,0.115,4194304,4194304,2,0.2370
fp32,cpu-hw,mul,0.7220,1385056362,0.003,4194304,4194304,47,0.1423
fp32,libcft,fma,267.0547,3744551,1.000,4194304,4194304,1,1.1201
fp32,mpfr,fma,43.1483,23175868,0.162,4194304,4194304,1,0.1810
fp32,mpfr+754,fma,49.1234,20356884,0.184,4194304,4194304,1,0.2060
fp32,cpu-hw,fma,1.8334,545434864,0.007,4194304,4194304,20,0.1538
fp32,libcft,div,4538.9469,220315,1.000,4194304,4194304,1,19.0377
fp32,mpfr,div,26.1709,38210421,0.006,4194304,4194304,2,0.2195
fp32,mpfr+754,div,30.1465,33171357,0.007,4194304,4194304,1,0.1264
fp32,cpu-hw,div,0.8180,1222553577,0.000,4194304,4194304,43,0.1475
fp32,libcft,sqrt,5416.5354,184620,1.000,4194304,4194304,1,22.7186
fp32,mpfr,sqrt,33.2475,30077470,0.006,4194304,4194304,1,0.1395
fp32,mpfr+754,sqrt,39.1428,25547474,0.007,4194304,4194304,1,0.1642
fp32,cpu-hw,sqrt,1.1564,864779479,0.000,4194304,4194304,32,0.1552
fp64,libcft,add,364.4369,2743959,1.000,1,1,831899,0.3032
fp64,mpfr,add,13.9550,71658841,0.038,1,1,16777216,0.2341
fp64,mpfr+754,add,20.0641,49840184,0.055,1,1,15544215,0.3119
fp64,cpu-hw,add,3.6237,275957478,0.010,1,1,16777216,0.0608
fp64,libcft,mul,272.2972,3672458,1.000,1,1,1149712,0.3131
fp64,mpfr,mul,11.1763,89474915,0.041,1,1,16777216,0.1875
fp64,mpfr+754,mul,17.3440,57656891,0.064,1,1,16253379,0.2819
fp64,cpu-hw,mul,3.3533,298213533,0.012,1,1,16777216,0.0563
fp64,libcft,fma,315.8837,3165722,1.000,1,1,993091,0.3137
fp64,mpfr,fma,26.9842,37058739,0.085,1,1,12203739,0.3293
fp64,mpfr+754,fma,34.7532,28774356,0.110,1,1,7948750,0.2762
fp64,cpu-hw,fma,4.4869,222872154,0.014,1,1,16777216,0.0753
fp64,libcft,div,34577.2872,28921,1.000,1,1,9042,0.3126
fp64,mpfr,div,16.1485,61925119,0.000,1,1,16777216,0.2709
fp64,mpfr+754,div,22.0932,45262823,0.001,1,1,14248360,0.3148
fp64,cpu-hw,div,3.3504,298467383,0.000,1,1,16777216,0.0562
fp64,libcft,sqrt,36166.5212,27650,1.000,1,1,8620,0.3118
fp64,mpfr,sqrt,15.5774,64195469,0.000,1,1,16777216,0.2613
fp64,mpfr+754,sqrt,21.5917,46314110,0.001,1,1,14500114,0.3131
fp64,cpu-hw,sqrt,3.3634,297317438,0.000,1,1,16777216,0.0564
fp64,libcft,add,348.7246,2867592,1.000,4,4,223675,0.3120
fp64,mpfr,add,10.6335,94042422,0.030,4,4,8078084,0.3436
fp64,mpfr+754,add,16.4769,60691154,0.047,4,4,4142729,0.2730
fp64,cpu-hw,add,1.3250,754718609,0.004,4,4,16777216,0.0889
fp64,libcft,mul,246.9600,4049239,1.000,4,4,262144,0.2590
fp64,mpfr,mul,9.1204,109644053,0.037,4,4,8538936,0.3115
fp64,mpfr+754,mul,15.2332,65646197,0.062,4,4,5170329,0.3150
fp64,cpu-hw,mul,1.1353,880819958,0.005,4,4,16777216,0.0762
fp64,libcft,fma,308.7208,3239172,1.000,4,4,253531,0.3131
fp64,mpfr,fma,24.3192,41119749,0.079,4,4,3230909,0.3143
fp64,mpfr+754,fma,30.0873,33236563,0.097,4,4,2577732,0.3102
fp64,cpu-hw,fma,2.6524,377013678,0.009,4,4,16777216,0.1780
fp64,libcft,div,13468.1285,74249,1.000,4,4,5825,0.3138
fp64,mpfr,div,14.0819,71013051,0.001,4,4,5531814,0.3116
fp64,mpfr+754,div,19.0191,52578684,0.001,4,4,4117513,0.3132
fp64,cpu-hw,div,1.2566,795810610,0.000,4,4,16777216,0.0843
fp64,libcft,sqrt,14785.9114,67632,1.000,4,4,5285,0.3126
fp64,mpfr,sqrt,13.5926,73569411,0.001,4,4,5801568,0.3154
fp64,mpfr+754,sqrt,20.2804,49308735,0.001,4,4,3971990,0.3222
fp64,cpu-hw,sqrt,2.3114,432638092,0.000,4,4,16777216,0.1551
fp64,libcft,add,347.1136,2880901,1.000,16,16,55931,0.3106
fp64,mpfr,add,11.1373,89788429,0.032,16,16,1755980,0.3129
fp64,mpfr+754,add,17.4754,57223275,0.050,16,16,1124750,0.3145
fp64,cpu-hw,add,0.7494,1334478520,0.002,16,16,16777216,0.2012
fp64,libcft,mul,270.7606,3693299,1.000,16,16,77674,0.3365
fp64,mpfr,mul,9.0522,110470046,0.033,16,16,2148521,0.3112
fp64,mpfr+754,mul,14.7562,67768051,0.054,16,16,1322758,0.3123
fp64,cpu-hw,mul,0.6105,1637987714,0.002,16,16,16777216,0.1639
fp64,libcft,fma,307.3704,3253403,1.000,16,16,64004,0.3148
fp64,mpfr,fma,25.4720,39258779,0.083,16,16,767976,0.3130
fp64,mpfr+754,fma,31.3020,31946842,0.102,16,16,622742,0.3119
fp64,cpu-hw,fma,2.1315,469152286,0.007,16,16,9205486,0.3139
fp64,libcft,div,8002.1785,124966,1.000,16,16,2456,0.3145
fp64,mpfr,div,13.0748,76482942,0.002,16,16,1491426,0.3120
fp64,mpfr+754,div,20.2569,49365881,0.003,16,16,963931,0.3124
fp64,cpu-hw,div,1.2552,796708825,0.000,16,16,15596181,0.3132
fp64,libcft,sqrt,9184.7260,108876,1.000,16,16,2126,0.3124
fp64,mpfr,sqrt,12.8456,77847421,0.001,16,16,1523268,0.3131
fp64,mpfr+754,sqrt,18.5854,53805601,0.002,16,16,1052210,0.3129
fp64,cpu-hw,sqrt,2.1265,470254557,0.000,16,16,9111480,0.3100
fp64,libcft,add,350.2618,2855007,1.000,64,64,13112,0.2939
fp64,mpfr,add,10.7910,92669531,0.031,64,64,452363,0.3124
fp64,mpfr+754,add,17.0754,58563767,0.049,64,64,262144,0.2865
fp64,cpu-hw,add,0.6011,1663645843,0.002,64,64,8137007,0.3130
fp64,libcft,mul,252.2434,3964424,1.000,64,64,19370,0.3127
fp64,mpfr,mul,8.4955,117709547,0.034,64,64,572417,0.3112
fp64,mpfr+754,mul,14.6442,68286383,0.058,64,64,333489,0.3126
fp64,cpu-hw,mul,0.4876,2050979188,0.002,64,64,8930383,0.2787
fp64,libcft,fma,306.9576,3257779,1.000,64,64,15916,0.3127
fp64,mpfr,fma,24.7610,40386065,0.081,64,64,199423,0.3160
fp64,mpfr+754,fma,30.9521,32307975,0.101,64,64,158639,0.3143
fp64,cpu-hw,fma,2.0777,481297508,0.007,64,64,2354379,0.3131
fp64,libcft,div,6659.8904,150153,1.000,64,64,744,0.3171
fp64,mpfr,div,13.0684,76520386,0.002,64,64,373024,0.3120
fp64,mpfr+754,div,20.4217,48967597,0.003,64,64,241237,0.3153
fp64,cpu-hw,div,1.2553,796642413,0.000,64,64,3898283,0.3132
fp64,libcft,sqrt,7686.4498,130099,1.000,64,64,637,0.3134
fp64,mpfr,sqrt,13.0055,76890520,0.002,64,64,375632,0.3127
fp64,mpfr+754,sqrt,18.7267,53399571,0.002,64,64,258732,0.3101
fp64,cpu-hw,sqrt,2.1129,473283983,0.000,64,64,2316015,0.3132
fp64,libcft,add,357.6142,2796309,1.000,256,256,3021,0.2766
fp64,mpfr,add,10.8665,92026043,0.030,256,256,112632,0.3133
fp64,mpfr+754,add,17.1822,58199921,0.048,256,256,70693,0.3110
fp64,cpu-hw,add,0.5889,1698136003,0.002,256,256,2075753,0.3129
fp64,libcft,mul,258.5984,3867000,1.000,256,256,4096,0.2712
fp64,mpfr,mul,8.8739,112690328,0.034,256,256,135690,0.3082
fp64,mpfr+754,mul,16.5089,60573272,0.064,256,256,74220,0.3137
fp64,cpu-hw,mul,0.5828,1715897245,0.002,256,256,2095089,0.3126
fp64,libcft,fma,310.2583,3223120,1.000,256,256,3830,0.3042
fp64,mpfr,fma,25.8792,38641065,0.083,256,256,46643,0.3090
fp64,mpfr+754,fma,33.6006,29761392,0.108,256,256,36313,0.3124
fp64,cpu-hw,fma,1.9885,502881902,0.006,256,256,615177,0.3132
fp64,libcft,div,6248.0204,160051,1.000,256,256,195,0.3119
fp64,mpfr,div,14.2583,70134624,0.002,256,256,84406,0.3081
fp64,mpfr+754,div,23.9510,41751838,0.004,256,256,52043,0.3191
fp64,cpu-hw,div,1.4147,706865755,0.000,256,256,969384,0.3511
fp64,libcft,sqrt,7358.5139,135897,1.000,256,256,158,0.2976
fp64,mpfr,sqrt,15.1642,65944896,0.002,256,256,78620,0.3052
fp64,mpfr+754,sqrt,22.7419,43971784,0.003,256,256,53872,0.3136
fp64,cpu-hw,sqrt,2.1213,471419267,0.000,256,256,578291,0.3140
fp64,libcft,add,359.2899,2783268,1.000,1024,1024,760,0.2796
fp64,mpfr,add,13.2671,75374475,0.037,1024,1024,22084,0.3000
fp64,mpfr+754,add,22.9458,43580980,0.064,1024,1024,13235,0.3110
fp64,cpu-hw,add,0.5675,1762252417,0.002,1024,1024,539829,0.3137
fp64,libcft,mul,259.8607,3848216,1.000,1024,1024,1178,0.3135
fp64,mpfr,mul,11.0931,90145988,0.043,1024,1024,27075,0.3076
fp64,mpfr+754,mul,19.9306,50174126,0.077,1024,1024,15261,0.3115
fp64,cpu-hw,mul,0.5662,1766019376,0.002,1024,1024,539208,0.3127
fp64,libcft,fma,311.8814,3206347,1.000,1024,1024,956,0.3053
fp64,mpfr,fma,36.0032,27775346,0.115,1024,1024,8396,0.3095
fp64,mpfr+754,fma,43.5274,22974017,0.140,1024,1024,7003,0.3121
fp64,cpu-hw,fma,1.9624,509571108,0.006,1024,1024,154946,0.3114
fp64,libcft,div,6172.7195,162003,1.000,1024,1024,50,0.3160
fp64,mpfr,div,16.9450,59014458,0.003,1024,1024,17886,0.3104
